name,trained_model_name,base_model,validation_data_size,strategy,token_strategy,freeze_layers,max_input_token_length,max_output_token_length,epochs,num_beams,max_length,length_penalty,early_stopping,no_repeat_ngram_size,rouge1,rouge2,note
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,1.0,True,3,"Score(precision=0.28845731451810996, recall=0.21595936048263328, fmeasure=0.22173455461198366)","Score(precision=0.05937546469838062, recall=0.04475235751333692, fmeasure=0.046352253486831516)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,2.0,True,3,"Score(precision=0.2563310035518408, recall=0.2491246579748876, fmeasure=0.22816426947707957)","Score(precision=0.052004876350019574, recall=0.05361585215829849, fmeasure=0.048438631685405284)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,3.0,True,3,"Score(precision=0.2563310035518408, recall=0.2491246579748876, fmeasure=0.22816426947707957)","Score(precision=0.052004876350019574, recall=0.05361585215829849, fmeasure=0.048438631685405284)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,1.0,True,3,"Score(precision=0.2988482198800626, recall=0.217985930562347, fmeasure=0.2284929072444173)","Score(precision=0.060669717020440134, recall=0.045576227732445636, fmeasure=0.046748628038631515)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,2.0,True,3,"Score(precision=0.2702047683649905, recall=0.2490202820977927, fmeasure=0.2355274767078755)","Score(precision=0.053110535218093516, recall=0.05262675881432377, fmeasure=0.047328711586101316)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,3.0,True,3,"Score(precision=0.27035437265974926, recall=0.24926986576625465, fmeasure=0.235795851288169)","Score(precision=0.05309337964629583, recall=0.05262675881432377, fmeasure=0.04732456357101493)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,4,196,1.0,True,3,"Score(precision=0.30694994416036825, recall=0.20335242926802405, fmeasure=0.22089484581758065)","Score(precision=0.06784170121667102, recall=0.0440343025087509, fmeasure=0.04775881182466919)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,4,196,2.0,True,3,"Score(precision=0.26745635762476205, recall=0.2509419147635576, fmeasure=0.23417525542873505)","Score(precision=0.05569295295128433, recall=0.05377331104774703, fmeasure=0.04828611875301208)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,4,196,3.0,True,3,"Score(precision=0.2675404421027928, recall=0.2512355098876382, fmeasure=0.23432906990605457)","Score(precision=0.05569295295128433, recall=0.05377331104774703, fmeasure=0.04828611875301208)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
e_lm_longformer_8k_abstr,large led 8K configuration sweep 4 with 1300 steps epoch,allenai/led-large-16384,100,Abstraction,,no,8000,196,,5,196,1.0,True,3,"Score(precision=0.302627948726865, recall=0.20693992049586435, fmeasure=0.2220386868876631)","Score(precision=0.0703251886981265, recall=0.04601647516222053, fmeasure=0.049760655712811894)","i messed up, i saved to the wrong output directory, but models is e_lm_longformer_8k_abstr at 2200 steps"
